,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
81904,USC00048380,37.5122,-119.6331,1538.3,CA,SO ENTRANCE YOSEMITE NP,,,
81905,USC00048390,34.0667,-116.8167,2172.0,CA,SOUTH FORK CABIN,,,
81906,USC00048406,37.1683,-118.5706,2920.0,CA,SOUTH LAKE,,,
81907,USC00048407,35.6467,-118.3608,808.9,CA,S LAKE FS,,,
81908,USC00048436,34.0419,-117.8106,206.0,CA,SPADRA LANTERMAN HOSP,,,
81909,USC00048446,36.6311,-121.6714,6.4,CA,SPRECKELS HWY BRG,,,
81910,USC00048453,36.15,-118.7667,445.0,CA,SPRINGVILLE 3 ENE,,,
81911,USC00048455,36.1667,-118.7,752.9,CA,SPRINGVILLE 7 ENE,,,
81912,USC00048460,36.1422,-118.8114,320.0,CA,SPRINGVILLE RS,,,
81913,USC00048463,36.1933,-118.6567,1240.5,CA,SPRINGVILLE TULE HD,,,
81914,USC00048472,40.8833,-122.1,396.8,CA,SQUAW CREEK GS,,,
81915,USC00048473,40.8,-122.15,295.7,CA,SQUAW CREEK RS,,,
81916,USC00048474,39.2,-120.2333,1902.9,CA,SQUAW VALLEY,,,
81917,USC00048476,34.2333,-117.25,1598.1,CA,SQUIRREL INN 1,,,
81918,USC00048479,34.2333,-117.2333,1731.9,CA,SQUIRREL INN 2,,,
81919,USC00048487,40.3667,-120.4,1229.0,CA,STANDISH 1 E,,,
81920,USC00048490,39.8778,-123.7275,260.0,CA,STANDISH HICKEY SP,,,
81921,USC00048499,38.1333,-120.3667,323.1,CA,STANISLAUS PH,,,
81922,USC00048502,39.7,-121.3667,652.3,CA,STANWOOD,,,
81923,USC00048517,36.9167,-121.2167,908.9,CA,STAYTON MINE,,,
81924,USC00048521,41.8667,-120.95,1388.1,CA,STEELE SWAMP,,,
81925,USC00048544,39.9042,-121.5281,1072.9,CA,STIRLING CITY RS,,,
81926,USC00048554,37.9333,-121.3333,3.0,CA,STOCKTON DISPOSAL PLT,,,
81927,USC00048557,37.95,-121.2667,6.1,CA,STOCKTON 2,,,
81928,USC00048559,37.8992,-121.2514,6.7,CA,STOCKTON 5 SSE,,,
81929,USC00048560,37.9994,-121.3178,3.7,CA,STOCKTON FIRE STN 4,,,
81930,USC00048562,37.85,-121.3833,6.1,CA,STOCKTON MOWRY BRG,,,
81931,USC00048578,39.25,-122.6667,921.1,CA,STONYFORD COOLEY RCH,,,
81932,USC00048580,39.3753,-122.5461,356.6,CA,STONYFORD,,,
81933,USC00048587,39.5861,-122.5342,243.8,CA,STONY GORGE RSVR,,,
81934,USC00048606,39.5631,-121.1078,1160.7,CA,STRAWBERRY VALLEY,,,
81935,USC00048627,35.0,-120.3833,118.9,CA,SUEY RCH,,,
81936,USC00048655,33.7156,-117.19,432.8,CA,SUN CITY,,,
81937,USC00048660,34.2667,-118.3,445.0,CA,SUNLAND,,,
81938,USC00048662,34.25,-118.2833,534.0,CA,SUNLAND TUJUNGA,,,
81939,USC00048697,34.6806,-120.5364,33.5,CA,SURF 2 ENE,,,
81940,USC00048700,34.2667,-118.6667,331.9,CA,SUSANA KNOLLS,,,
81941,USC00048701,40.4167,-120.65,1271.9,CA,SUSANVILLE,,,
