YearMonth,temp_bins,0
198205,20-29F,0
198205,30-39F,0
198205,40-49F,0
198205,50-59F,1
198205,60-69F,11
198205,70-79F,12
198205,80-89F,5
198205,90-99F,2
198205,>100F,0
198206,20-29F,0
198206,30-39F,0
198206,40-49F,0
198206,50-59F,0
198206,60-69F,12
198206,70-79F,14
198206,80-89F,4
198206,90-99F,0
198206,>100F,0
198207,20-29F,0
198207,30-39F,0
198207,40-49F,0
198207,50-59F,0
198207,60-69F,3
198207,70-79F,7
198207,80-89F,17
198207,90-99F,4
198207,>100F,0
198208,20-29F,0
198208,30-39F,0
198208,40-49F,0
198208,50-59F,0
198208,60-69F,2
198208,70-79F,13
198208,80-89F,11
198208,90-99F,4
198208,>100F,0
198209,20-29F,0
198209,30-39F,0
198209,40-49F,0
198209,50-59F,0
198209,60-69F,6
198209,70-79F,10
198209,80-89F,10
198209,90-99F,4
198209,>100F,0
198210,20-29F,0
198210,30-39F,0
198210,40-49F,0
198210,50-59F,1
198210,60-69F,10
198210,70-79F,17
198210,80-89F,3
198210,90-99F,0
198210,>100F,0
198211,20-29F,0
198211,30-39F,0
198211,40-49F,9
198211,50-59F,15
198211,60-69F,6
198211,70-79F,0
198211,80-89F,0
198211,90-99F,0
198211,>100F,0
198212,20-29F,0
198212,30-39F,0
198212,40-49F,11
198212,50-59F,19
198212,60-69F,1
198212,70-79F,0
198212,80-89F,0
198212,90-99F,0
198212,>100F,0
198301,20-29F,0
198301,30-39F,3
198301,40-49F,9
198301,50-59F,18
198301,60-69F,1
198301,70-79F,0
198301,80-89F,0
198301,90-99F,0
198301,>100F,0
198302,20-29F,0
198302,30-39F,0
198302,40-49F,2
198302,50-59F,20
198302,60-69F,6
198302,70-79F,0
198302,80-89F,0
198302,90-99F,0
198302,>100F,0
198303,20-29F,1
198303,30-39F,0
198303,40-49F,1
198303,50-59F,19
198303,60-69F,10
198303,70-79F,0
198303,80-89F,0
198303,90-99F,0
198303,>100F,0
198304,20-29F,0
198304,30-39F,0
198304,40-49F,0
198304,50-59F,14
198304,60-69F,14
198304,70-79F,2
198304,80-89F,0
198304,90-99F,0
198304,>100F,0
198305,20-29F,0
198305,30-39F,0
198305,40-49F,0
198305,50-59F,2
198305,60-69F,14
198305,70-79F,7
198305,80-89F,8
198305,90-99F,0
198305,>100F,0
198306,20-29F,0
198306,30-39F,0
198306,40-49F,0
198306,50-59F,0
198306,60-69F,5
198306,70-79F,9
198306,80-89F,11
198306,90-99F,5
198306,>100F,0
198307,20-29F,0
198307,30-39F,0
198307,40-49F,0
198307,50-59F,0
198307,60-69F,4
198307,70-79F,9
198307,80-89F,12
198307,90-99F,4
198307,>100F,2
198308,20-29F,0
198308,30-39F,0
198308,40-49F,0
198308,50-59F,0
198308,60-69F,1
198308,70-79F,11
198308,80-89F,11
198308,90-99F,7
198308,>100F,1
198309,20-29F,0
198309,30-39F,0
198309,40-49F,0
198309,50-59F,0
198309,60-69F,3
198309,70-79F,7
198309,80-89F,11
198309,90-99F,8
198309,>100F,1
198310,20-29F,0
198310,30-39F,0
198310,40-49F,0
198310,50-59F,0
198310,60-69F,5
198310,70-79F,19
198310,80-89F,7
198310,90-99F,0
198310,>100F,0
198311,20-29F,1
198311,30-39F,0
198311,40-49F,3
198311,50-59F,14
198311,60-69F,10
198311,70-79F,2
198311,80-89F,0
198311,90-99F,0
198311,>100F,0
198312,20-29F,0
198312,30-39F,1
198312,40-49F,5
198312,50-59F,23
198312,60-69F,2
198312,70-79F,0
198312,80-89F,0
198312,90-99F,0
198312,>100F,0
198401,20-29F,0
198401,30-39F,0
198401,40-49F,16
198401,50-59F,9
198401,60-69F,6
198401,70-79F,0
198401,80-89F,0
198401,90-99F,0
198401,>100F,0
198402,20-29F,0
198402,30-39F,0
198402,40-49F,2
198402,50-59F,20
198402,60-69F,7
198402,70-79F,0
198402,80-89F,0
198402,90-99F,0
198402,>100F,0
198403,20-29F,0
198403,30-39F,0
198403,40-49F,0
198403,50-59F,6
198403,60-69F,21
198403,70-79F,4
198403,80-89F,0
198403,90-99F,0
198403,>100F,0
198404,20-29F,0
198404,30-39F,0
198404,40-49F,0
198404,50-59F,8
198404,60-69F,16
198404,70-79F,5
198404,80-89F,1
198404,90-99F,0
198404,>100F,0
198405,20-29F,0
198405,30-39F,0
198405,40-49F,0
198405,50-59F,0
198405,60-69F,8
198405,70-79F,10
198405,80-89F,10
198405,90-99F,3
198405,>100F,0
198406,20-29F,0
198406,30-39F,0
198406,40-49F,0
198406,50-59F,0
198406,60-69F,4
198406,70-79F,11
198406,80-89F,9
198406,90-99F,6
198406,>100F,0
198407,20-29F,0
198407,30-39F,0
198407,40-49F,0
198407,50-59F,0
198407,60-69F,0
198407,70-79F,5
198407,80-89F,9
198407,90-99F,14
198407,>100F,3
198408,20-29F,0
198408,30-39F,0
198408,40-49F,0
198408,50-59F,0
198408,60-69F,0
198408,70-79F,6
198408,80-89F,15
198408,90-99F,7
198408,>100F,3
198409,20-29F,0
198409,30-39F,0
198409,40-49F,0
198409,50-59F,0
198409,60-69F,0
198409,70-79F,4
198409,80-89F,12
198409,90-99F,12
198409,>100F,2
198410,20-29F,0
198410,30-39F,0
198410,40-49F,0
198410,50-59F,2
198410,60-69F,13
198410,70-79F,14
198410,80-89F,2
