,YearMonth,temp_bins,0
421,198405,80-89F,5
422,198405,90-99F,0
423,198405,>100F,0
424,198406,30-39F,0
425,198406,40-49F,0
426,198406,50-59F,0
427,198406,60-69F,11
428,198406,70-79F,19
429,198406,80-89F,0
430,198406,90-99F,0
431,198406,>100F,0
432,198407,30-39F,0
433,198407,40-49F,0
434,198407,50-59F,0
435,198407,60-69F,2
436,198407,70-79F,19
437,198407,80-89F,10
438,198407,90-99F,0
439,198407,>100F,0
440,198408,30-39F,0
441,198408,40-49F,0
442,198408,50-59F,0
443,198408,60-69F,1
444,198408,70-79F,25
445,198408,80-89F,4
446,198408,90-99F,1
447,198408,>100F,0
448,198409,30-39F,0
449,198409,40-49F,0
450,198409,50-59F,0
451,198409,60-69F,0
452,198409,70-79F,9
453,198409,80-89F,18
454,198409,90-99F,3
455,198409,>100F,0
456,198410,30-39F,0
457,198410,40-49F,0
458,198410,50-59F,0
459,198410,60-69F,17
460,198410,70-79F,13
461,198410,80-89F,1
462,198410,90-99F,0
463,198410,>100F,0
464,198411,30-39F,0
465,198411,40-49F,0
466,198411,50-59F,14
467,198411,60-69F,16
468,198411,70-79F,0
469,198411,80-89F,0
470,198411,90-99F,0
471,198411,>100F,0
472,198412,30-39F,0
473,198412,40-49F,4
474,198412,50-59F,23
475,198412,60-69F,4
476,198412,70-79F,0
477,198412,80-89F,0
478,198412,90-99F,0
479,198412,>100F,0
480,198501,30-39F,0
481,198501,40-49F,0
482,198501,50-59F,31
483,198501,60-69F,0
484,198501,70-79F,0
485,198501,80-89F,0
486,198501,90-99F,0
487,198501,>100F,0
488,198502,30-39F,0
489,198502,40-49F,0
490,198502,50-59F,11
491,198502,60-69F,14
492,198502,70-79F,3
493,198502,80-89F,0
494,198502,90-99F,0
495,198502,>100F,0
496,198503,30-39F,0
497,198503,40-49F,0
498,198503,50-59F,17
499,198503,60-69F,13
500,198503,70-79F,1
501,198503,80-89F,0
502,198503,90-99F,0
503,198503,>100F,0
504,198504,30-39F,0
505,198504,40-49F,0
506,198504,50-59F,2
507,198504,60-69F,16
508,198504,70-79F,9
509,198504,80-89F,3
510,198504,90-99F,0
511,198504,>100F,0
512,198505,30-39F,0
513,198505,40-49F,0
514,198505,50-59F,0
515,198505,60-69F,25
516,198505,70-79F,6
517,198505,80-89F,0
518,198505,90-99F,0
519,198505,>100F,0
520,198506,30-39F,0
521,198506,40-49F,0
522,198506,50-59F,0
523,198506,60-69F,7
524,198506,70-79F,18
525,198506,80-89F,5
526,198506,90-99F,0
527,198506,>100F,0
528,198507,30-39F,0
529,198507,40-49F,0
530,198507,50-59F,0
531,198507,60-69F,5
532,198507,70-79F,18
533,198507,80-89F,7
534,198507,90-99F,1
535,198507,>100F,0
536,198508,30-39F,0
537,198508,40-49F,0
538,198508,50-59F,0
539,198508,60-69F,3
540,198508,70-79F,26
541,198508,80-89F,2
542,198508,90-99F,0
543,198508,>100F,0
544,198509,30-39F,0
545,198509,40-49F,0
546,198509,50-59F,0
547,198509,60-69F,12
548,198509,70-79F,16
549,198509,80-89F,2
550,198509,90-99F,0
551,198509,>100F,0
