,YearMonth,prcp_bins,0
754,200012,1-4mm,31
755,200012,5-14mm,0
756,200101,0mm,0
757,200101,1-4mm,31
758,200101,5-14mm,0
759,200102,0mm,0
760,200102,1-4mm,28
761,200102,5-14mm,0
762,200103,0mm,0
763,200103,1-4mm,31
764,200103,5-14mm,0
765,200104,0mm,0
766,200104,1-4mm,30
767,200104,5-14mm,0
768,200105,0mm,0
769,200105,1-4mm,31
770,200105,5-14mm,0
771,200106,0mm,0
772,200106,1-4mm,30
773,200106,5-14mm,0
774,200107,0mm,0
775,200107,1-4mm,31
776,200107,5-14mm,0
777,200108,0mm,0
778,200108,1-4mm,31
779,200108,5-14mm,0
780,200109,0mm,0
781,200109,1-4mm,30
782,200109,5-14mm,0
783,200110,0mm,0
784,200110,1-4mm,31
785,200110,5-14mm,0
786,200111,0mm,0
787,200111,1-4mm,30
788,200111,5-14mm,0
789,200112,0mm,0
790,200112,1-4mm,31
791,200112,5-14mm,0
792,200201,0mm,0
793,200201,1-4mm,31
794,200201,5-14mm,0
795,200202,0mm,0
796,200202,1-4mm,28
797,200202,5-14mm,0
798,200203,0mm,0
799,200203,1-4mm,31
800,200203,5-14mm,0
801,200204,0mm,0
802,200204,1-4mm,30
803,200204,5-14mm,0
804,200205,0mm,0
805,200205,1-4mm,31
806,200205,5-14mm,0
807,200206,0mm,0
808,200206,1-4mm,30
809,200206,5-14mm,0
810,200207,0mm,0
811,200207,1-4mm,31
812,200207,5-14mm,0
813,200208,0mm,0
814,200208,1-4mm,31
815,200208,5-14mm,0
816,200209,0mm,0
817,200209,1-4mm,30
818,200209,5-14mm,0
819,200210,0mm,0
820,200210,1-4mm,31
821,200210,5-14mm,0
822,200211,0mm,0
823,200211,1-4mm,30
824,200211,5-14mm,0
825,200212,0mm,0
826,200212,1-4mm,29
827,200212,5-14mm,2
828,200301,0mm,0
829,200301,1-4mm,31
830,200301,5-14mm,0
831,200302,0mm,0
832,200302,1-4mm,28
833,200302,5-14mm,0
834,200303,0mm,0
835,200303,1-4mm,31
836,200303,5-14mm,0
837,200304,0mm,0
838,200304,1-4mm,30
839,200304,5-14mm,0
840,200305,0mm,0
841,200305,1-4mm,31
842,200305,5-14mm,0
843,200306,0mm,0
844,200306,1-4mm,30
845,200306,5-14mm,0
846,200307,0mm,0
847,200307,1-4mm,31
848,200307,5-14mm,0
849,200308,0mm,0
850,200308,1-4mm,31
851,200308,5-14mm,0
852,200309,0mm,0
853,200309,1-4mm,30
854,200309,5-14mm,0
855,200310,0mm,0
856,200310,1-4mm,31
857,200310,5-14mm,0
858,200311,0mm,0
859,200311,1-4mm,30
860,200311,5-14mm,0
861,200312,0mm,0
862,200312,1-4mm,30
863,200312,5-14mm,1
864,200401,0mm,0
865,200401,1-4mm,31
866,200401,5-14mm,0
867,200402,0mm,0
868,200402,1-4mm,29
869,200402,5-14mm,0
870,200403,0mm,0
871,200403,1-4mm,31
872,200403,5-14mm,0
873,200404,0mm,0
874,200404,1-4mm,30
875,200404,5-14mm,0
876,200405,0mm,0
877,200405,1-4mm,31
878,200405,5-14mm,0
879,200406,0mm,0
880,200406,1-4mm,30
881,200406,5-14mm,0
882,200407,0mm,0
883,200407,1-4mm,31
884,200407,5-14mm,0
885,200408,0mm,0
886,200408,1-4mm,31
887,200408,5-14mm,0
888,200409,0mm,0
889,200409,1-4mm,30
890,200409,5-14mm,0
891,200410,0mm,0
892,200410,1-4mm,31
893,200410,5-14mm,0
894,200411,0mm,0
895,200411,1-4mm,30
896,200411,5-14mm,0
897,200412,0mm,0
898,200412,1-4mm,31
899,200412,5-14mm,0
900,200501,0mm,0
901,200501,1-4mm,31
902,200501,5-14mm,0
903,200502,0mm,0
904,200502,1-4mm,28
905,200502,5-14mm,0
906,200503,0mm,0
907,200503,1-4mm,31
908,200503,5-14mm,0
909,200504,0mm,0
910,200504,1-4mm,30
911,200504,5-14mm,0
912,200505,0mm,0
913,200505,1-4mm,31
914,200505,5-14mm,0
915,200506,0mm,0
916,200506,1-4mm,30
917,200506,5-14mm,0
918,200507,0mm,0
919,200507,1-4mm,31
920,200507,5-14mm,0
921,200508,0mm,0
922,200508,1-4mm,31
923,200508,5-14mm,0
924,200509,0mm,0
925,200509,1-4mm,30
926,200509,5-14mm,0
927,200510,0mm,0
928,200510,1-4mm,31
929,200510,5-14mm,0
930,200511,0mm,0
931,200511,1-4mm,30
932,200511,5-14mm,0
933,200512,0mm,0
934,200512,1-4mm,29
935,200512,5-14mm,2
936,200601,0mm,0
937,200601,1-4mm,31
938,200601,5-14mm,0
939,200602,0mm,0
940,200602,1-4mm,28
941,200602,5-14mm,0
942,200603,0mm,0
943,200603,1-4mm,31
944,200603,5-14mm,0
945,200604,0mm,0
946,200604,1-4mm,30
947,200604,5-14mm,0
948,200605,0mm,0
949,200605,1-4mm,31
950,200605,5-14mm,0
951,200606,0mm,0
952,200606,1-4mm,30
953,200606,5-14mm,0
954,200607,0mm,0
955,200607,1-4mm,31
956,200607,5-14mm,0
957,200608,0mm,0
958,200608,1-4mm,31
959,200608,5-14mm,0
960,200609,0mm,0
961,200609,1-4mm,30
962,200609,5-14mm,0
963,200610,0mm,0
964,200610,1-4mm,31
965,200610,5-14mm,0
966,200611,0mm,0
967,200611,1-4mm,30
968,200611,5-14mm,0
969,200612,0mm,0
970,200612,1-4mm,30
971,200612,5-14mm,1
972,200701,0mm,0
973,200701,1-4mm,31
974,200701,5-14mm,0
975,200702,0mm,0
976,200702,1-4mm,28
977,200702,5-14mm,0
978,200703,0mm,0
979,200703,1-4mm,31
980,200703,5-14mm,0
981,200704,0mm,0
982,200704,1-4mm,30
983,200704,5-14mm,0
984,200705,0mm,0
985,200705,1-4mm,31
986,200705,5-14mm,0
987,200706,0mm,0
988,200706,1-4mm,30
989,200706,5-14mm,0
990,200707,0mm,0
991,200707,1-4mm,31
992,200707,5-14mm,0
993,200708,0mm,0
994,200708,1-4mm,31
995,200708,5-14mm,0
996,200709,0mm,0
997,200709,1-4mm,30
998,200709,5-14mm,0
999,200710,0mm,0
1000,200710,1-4mm,31
1001,200710,5-14mm,0
1002,200711,0mm,0
1003,200711,1-4mm,30
1004,200711,5-14mm,0
1005,200712,0mm,0
1006,200712,1-4mm,31
1007,200712,5-14mm,0
1008,200801,0mm,0
1009,200801,1-4mm,30
1010,200801,5-14mm,1
1011,200802,0mm,0
1012,200802,1-4mm,29
1013,200802,5-14mm,0
1014,200803,0mm,0
1015,200803,1-4mm,31
1016,200803,5-14mm,0
1017,200804,0mm,0
1018,200804,1-4mm,30
1019,200804,5-14mm,0
1020,200805,0mm,0
1021,200805,1-4mm,31
1022,200805,5-14mm,0
1023,200806,0mm,0
1024,200806,1-4mm,30
1025,200806,5-14mm,0
1026,200807,0mm,0
1027,200807,1-4mm,31
1028,200807,5-14mm,0
1029,200808,0mm,0
1030,200808,1-4mm,31
1031,200808,5-14mm,0
1032,200809,0mm,0
1033,200809,1-4mm,30
1034,200809,5-14mm,0
1035,200810,0mm,0
1036,200810,1-4mm,31
1037,200810,5-14mm,0
1038,200811,0mm,0
1039,200811,1-4mm,30
1040,200811,5-14mm,0
1041,200812,0mm,0
1042,200812,1-4mm,31
1043,200812,5-14mm,0
1044,200901,0mm,0
1045,200901,1-4mm,31
1046,200901,5-14mm,0
1047,200902,0mm,0
1048,200902,1-4mm,28
1049,200902,5-14mm,0
1050,200903,0mm,9
1051,200903,1-4mm,22
1052,200903,5-14mm,0
1053,200904,0mm,27
1054,200904,1-4mm,3
1055,200904,5-14mm,0
1056,200905,0mm,26
1057,200905,1-4mm,5
1058,200905,5-14mm,0
1059,200906,0mm,22
1060,200906,1-4mm,8
1061,200906,5-14mm,0
1062,200907,0mm,31
1063,200907,1-4mm,0
1064,200907,5-14mm,0
1065,200908,0mm,0
1066,200908,1-4mm,31
1067,200908,5-14mm,0
