YearMonth,prcp_bins,0
198602,1-4mm,8
198602,5-14mm,5
198602,15-29mm,3
198602,>30mm,3
198603,0mm,19
198603,1-4mm,3
198603,5-14mm,6
198603,15-29mm,2
198603,>30mm,1
198604,0mm,21
198604,1-4mm,9
198604,5-14mm,0
198604,15-29mm,0
198604,>30mm,0
198605,0mm,25
198605,1-4mm,6
198605,5-14mm,0
198605,15-29mm,0
198605,>30mm,0
198606,0mm,30
198606,1-4mm,0
198606,5-14mm,0
198606,15-29mm,0
198606,>30mm,0
198607,0mm,28
198607,1-4mm,3
198607,5-14mm,0
198607,15-29mm,0
198607,>30mm,0
198608,0mm,31
198608,1-4mm,0
198608,5-14mm,0
198608,15-29mm,0
198608,>30mm,0
198609,0mm,20
198609,1-4mm,9
198609,5-14mm,1
198609,15-29mm,0
198609,>30mm,0
198610,0mm,24
198610,1-4mm,7
198610,5-14mm,0
198610,15-29mm,0
198610,>30mm,0
198611,0mm,24
198611,1-4mm,6
198611,5-14mm,0
198611,15-29mm,0
198611,>30mm,0
198612,0mm,13
198612,1-4mm,17
198612,5-14mm,1
198612,15-29mm,0
198612,>30mm,0
198701,0mm,13
198701,1-4mm,11
198701,5-14mm,6
198701,15-29mm,1
198701,>30mm,0
198702,0mm,12
198702,1-4mm,12
198702,5-14mm,2
198702,15-29mm,1
198702,>30mm,1
198703,0mm,13
198703,1-4mm,14
198703,5-14mm,3
198703,15-29mm,1
198703,>30mm,0
198704,0mm,26
198704,1-4mm,4
198704,5-14mm,0
198704,15-29mm,0
198704,>30mm,0
198705,0mm,28
198705,1-4mm,3
198705,5-14mm,0
198705,15-29mm,0
198705,>30mm,0
198706,0mm,30
198706,1-4mm,0
198706,5-14mm,0
198706,15-29mm,0
198706,>30mm,0
198707,0mm,31
198707,1-4mm,0
198707,5-14mm,0
198707,15-29mm,0
198707,>30mm,0
198708,0mm,31
198708,1-4mm,0
198708,5-14mm,0
198708,15-29mm,0
198708,>30mm,0
198709,0mm,30
198709,1-4mm,0
198709,5-14mm,0
198709,15-29mm,0
198709,>30mm,0
198710,0mm,25
198710,1-4mm,4
198710,5-14mm,2
198710,15-29mm,0
198710,>30mm,0
198711,0mm,14
198711,1-4mm,12
198711,5-14mm,4
198711,15-29mm,0
198711,>30mm,0
198712,0mm,9
198712,1-4mm,15
198712,5-14mm,6
198712,15-29mm,1
198712,>30mm,0
198801,0mm,12
198801,1-4mm,13
198801,5-14mm,5
198801,15-29mm,1
198801,>30mm,0
198802,0mm,25
198802,1-4mm,3
198802,5-14mm,1
198802,15-29mm,0
198802,>30mm,0
198803,0mm,27
198803,1-4mm,3
198803,5-14mm,1
198803,15-29mm,0
198803,>30mm,0
198804,0mm,18
198804,1-4mm,9
198804,5-14mm,2
198804,15-29mm,1
198804,>30mm,0
198805,0mm,21
198805,1-4mm,9
198805,5-14mm,1
198805,15-29mm,0
198805,>30mm,0
198806,0mm,27
198806,1-4mm,2
198806,5-14mm,1
198806,15-29mm,0
198806,>30mm,0
198807,0mm,31
198807,1-4mm,0
198807,5-14mm,0
198807,15-29mm,0
198807,>30mm,0
198808,0mm,30
198808,1-4mm,1
198808,5-14mm,0
198808,15-29mm,0
198808,>30mm,0
198809,0mm,29
198809,1-4mm,1
198809,5-14mm,0
198809,15-29mm,0
198809,>30mm,0
198810,0mm,29
198810,1-4mm,1
198810,5-14mm,1
198810,15-29mm,0
198810,>30mm,0
198811,0mm,9
198811,1-4mm,18
198811,5-14mm,2
198811,15-29mm,1
198811,>30mm,0
198812,0mm,16
198812,1-4mm,9
198812,5-14mm,5
198812,15-29mm,1
198812,>30mm,0
198901,0mm,19
198901,1-4mm,10
198901,5-14mm,2
198901,15-29mm,0
198901,>30mm,0
198902,0mm,14
198902,1-4mm,12
198902,5-14mm,2
198902,15-29mm,0
198902,>30mm,0
198903,0mm,5
198903,1-4mm,18
198903,5-14mm,7
198903,15-29mm,1
198903,>30mm,0
198904,0mm,20
198904,1-4mm,10
198904,5-14mm,0
198904,15-29mm,0
198904,>30mm,0
198905,0mm,29
198905,1-4mm,2
198905,5-14mm,0
198905,15-29mm,0
198905,>30mm,0
198906,0mm,27
198906,1-4mm,3
198906,5-14mm,0
198906,15-29mm,0
198906,>30mm,0
198907,0mm,30
198907,1-4mm,1
198907,5-14mm,0
198907,15-29mm,0
198907,>30mm,0
198908,0mm,30
198908,1-4mm,1
198908,5-14mm,0
198908,15-29mm,0
198908,>30mm,0
198909,0mm,23
198909,1-4mm,3
198909,5-14mm,4
198909,15-29mm,0
198909,>30mm,0
198910,0mm,24
198910,1-4mm,4
198910,5-14mm,1
198910,15-29mm,2
198910,>30mm,0
198911,0mm,24
198911,1-4mm,4
198911,5-14mm,0
198911,15-29mm,2
198911,>30mm,0
198912,0mm,30
198912,1-4mm,1
198912,5-14mm,0
198912,15-29mm,0
198912,>30mm,0
199001,0mm,17
199001,1-4mm,8
199001,5-14mm,5
199001,15-29mm,1
199001,>30mm,0
199002,0mm,19
199002,1-4mm,5
199002,5-14mm,3
199002,15-29mm,1
199002,>30mm,0
199003,0mm,18
199003,1-4mm,12
199003,5-14mm,1
199003,15-29mm,0
199003,>30mm,0
199004,0mm,22
199004,1-4mm,7
199004,5-14mm,1
199004,15-29mm,0
199004,>30mm,0
199005,0mm,20
199005,1-4mm,7
