YearMonth,temp_bins,0
198406,40-49F,0
198406,50-59F,0
198406,60-69F,8
198406,70-79F,13
198406,80-89F,9
198406,90-99F,0
198406,>100F,0
198407,30-39F,0
198407,40-49F,0
198407,50-59F,0
198407,60-69F,1
198407,70-79F,9
198407,80-89F,17
198407,90-99F,4
198407,>100F,0
198408,30-39F,0
198408,40-49F,0
198408,50-59F,0
198408,60-69F,0
198408,70-79F,19
198408,80-89F,9
198408,90-99F,3
198408,>100F,0
198409,30-39F,0
198409,40-49F,0
198409,50-59F,0
198409,60-69F,0
198409,70-79F,5
198409,80-89F,19
198409,90-99F,6
198409,>100F,0
198410,30-39F,0
198410,40-49F,0
198410,50-59F,0
198410,60-69F,16
198410,70-79F,14
198410,80-89F,1
198410,90-99F,0
198410,>100F,0
198411,30-39F,0
198411,40-49F,0
198411,50-59F,16
198411,60-69F,14
198411,70-79F,0
198411,80-89F,0
198411,90-99F,0
198411,>100F,0
198412,30-39F,0
198412,40-49F,6
198412,50-59F,21
198412,60-69F,4
198412,70-79F,0
198412,80-89F,0
198412,90-99F,0
198412,>100F,0
198501,30-39F,0
198501,40-49F,5
198501,50-59F,26
198501,60-69F,0
198501,70-79F,0
198501,80-89F,0
198501,90-99F,0
198501,>100F,0
198502,30-39F,0
198502,40-49F,0
198502,50-59F,11
198502,60-69F,14
198502,70-79F,3
198502,80-89F,0
198502,90-99F,0
198502,>100F,0
198503,30-39F,0
198503,40-49F,0
198503,50-59F,17
198503,60-69F,13
198503,70-79F,1
198503,80-89F,0
198503,90-99F,0
198503,>100F,0
198504,30-39F,0
198504,40-49F,0
198504,50-59F,2
198504,60-69F,13
198504,70-79F,12
198504,80-89F,3
198504,90-99F,0
198504,>100F,0
198505,30-39F,0
198505,40-49F,0
198505,50-59F,0
198505,60-69F,17
198505,70-79F,13
198505,80-89F,1
198505,90-99F,0
198505,>100F,0
198506,30-39F,0
198506,40-49F,0
198506,50-59F,0
198506,60-69F,2
198506,70-79F,11
198506,80-89F,16
198506,90-99F,1
198506,>100F,0
198507,30-39F,0
198507,40-49F,0
198507,50-59F,0
198507,60-69F,1
198507,70-79F,13
198507,80-89F,13
198507,90-99F,4
198507,>100F,0
198508,30-39F,0
198508,40-49F,0
198508,50-59F,0
198508,60-69F,0
198508,70-79F,20
198508,80-89F,11
198508,90-99F,0
198508,>100F,0
198509,30-39F,0
198509,40-49F,0
198509,50-59F,0
198509,60-69F,7
198509,70-79F,18
198509,80-89F,5
198509,90-99F,0
198509,>100F,0
198510,30-39F,0
198510,40-49F,0
198510,50-59F,0
198510,60-69F,12
198510,70-79F,14
198510,80-89F,3
198510,90-99F,2
198510,>100F,0
198511,30-39F,0
198511,40-49F,0
198511,50-59F,21
198511,60-69F,2
198511,70-79F,7
198511,80-89F,0
198511,90-99F,0
198511,>100F,0
198512,30-39F,0
198512,40-49F,3
198512,50-59F,25
198512,60-69F,3
198512,70-79F,0
198512,80-89F,0
198512,90-99F,0
198512,>100F,0
198601,30-39F,0
198601,40-49F,0
198601,50-59F,17
198601,60-69F,14
198601,70-79F,0
198601,80-89F,0
198601,90-99F,0
198601,>100F,0
198602,30-39F,0
198602,40-49F,0
198602,50-59F,14
198602,60-69F,10
198602,70-79F,4
198602,80-89F,0
198602,90-99F,0
198602,>100F,0
198603,30-39F,0
198603,40-49F,0
198603,50-59F,6
198603,60-69F,12
198603,70-79F,13
198603,80-89F,0
198603,90-99F,0
198603,>100F,0
198604,30-39F,0
198604,40-49F,0
198604,50-59F,1
198604,60-69F,23
198604,70-79F,4
198604,80-89F,2
198604,90-99F,0
198604,>100F,0
198605,30-39F,0
198605,40-49F,0
198605,50-59F,1
198605,60-69F,10
198605,70-79F,18
198605,80-89F,2
198605,90-99F,0
198605,>100F,0
198606,30-39F,0
198606,40-49F,0
198606,50-59F,0
198606,60-69F,5
198606,70-79F,19
198606,80-89F,5
198606,90-99F,1
198606,>100F,0
198607,30-39F,0
198607,40-49F,0
198607,50-59F,0
198607,60-69F,0
198607,70-79F,22
198607,80-89F,9
198607,90-99F,0
198607,>100F,0
198608,30-39F,0
198608,40-49F,0
198608,50-59F,0
198608,60-69F,0
198608,70-79F,21
198608,80-89F,10
198608,90-99F,0
198608,>100F,0
198609,30-39F,0
198609,40-49F,0
198609,50-59F,0
198609,60-69F,10
198609,70-79F,17
198609,80-89F,3
198609,90-99F,0
198609,>100F,0
198610,30-39F,0
198610,40-49F,0
198610,50-59F,0
198610,60-69F,11
198610,70-79F,15
198610,80-89F,5
198610,90-99F,0
198610,>100F,0
198611,30-39F,0
198611,40-49F,0
198611,50-59F,3
198611,60-69F,17
198611,70-79F,10
198611,80-89F,0
198611,90-99F,0
198611,>100F,0
198612,30-39F,0
198612,40-49F,5
198612,50-59F,18
198612,60-69F,8
198612,70-79F,0
198612,80-89F,0
198612,90-99F,0
198612,>100F,0
198701,30-39F,0
198701,40-49F,2
198701,50-59F,25
198701,60-69F,4
198701,70-79F,0
198701,80-89F,0
198701,90-99F,0
198701,>100F,0
198702,30-39F,0
198702,40-49F,0
198702,50-59F,14
198702,60-69F,14
198702,70-79F,0
198702,80-89F,0
198702,90-99F,0
198702,>100F,0
198703,30-39F,0
198703,40-49F,0
198703,50-59F,10
198703,60-69F,15
198703,70-79F,6
198703,80-89F,0
198703,90-99F,0
198703,>100F,0
198704,30-39F,0
198704,40-49F,0
198704,50-59F,0
198704,60-69F,11
198704,70-79F,15
198704,80-89F,4
198704,90-99F,0
198704,>100F,0
198705,30-39F,0
198705,40-49F,0
198705,50-59F,0
198705,60-69F,16
198705,70-79F,4
198705,80-89F,9
198705,90-99F,2
198705,>100F,0
198706,30-39F,0
198706,40-49F,0
198706,50-59F,0
198706,60-69F,6
198706,70-79F,19
198706,80-89F,4
198706,90-99F,1
198706,>100F,0
198707,30-39F,0
198707,40-49F,0
198707,50-59F,0
198707,60-69F,4
198707,70-79F,22
198707,80-89F,5
198707,90-99F,0
198707,>100F,0
198708,30-39F,0
198708,40-49F,0
198708,50-59F,0
198708,60-69F,1
198708,70-79F,18
198708,80-89F,10
198708,90-99F,2
198708,>100F,0
198709,30-39F,0
198709,40-49F,0
198709,50-59F,0
198709,60-69F,2
198709,70-79F,15
198709,80-89F,13
198709,90-99F,0
198709,>100F,0
198710,30-39F,0
198710,40-49F,0
198710,50-59F,0
198710,60-69F,11
198710,70-79F,16
198710,80-89F,1
198710,90-99F,3
198710,>100F,0
198711,30-39F,0
198711,40-49F,0
198711,50-59F,5
198711,60-69F,24
198711,70-79F,1
198711,80-89F,0
198711,90-99F,0
198711,>100F,0
198712,30-39F,0
198712,40-49F,5
198712,50-59F,22
198712,60-69F,4
198712,70-79F,0
198712,80-89F,0
198712,90-99F,0
198712,>100F,0
198801,30-39F,0
198801,40-49F,3
198801,50-59F,20
198801,60-69F,8
198801,70-79F,0
198801,80-89F,0
198801,90-99F,0
198801,>100F,0
198802,30-39F,0
198802,40-49F,0
198802,50-59F,4
198802,60-69F,23
198802,70-79F,2
198802,80-89F,0
198802,90-99F,0
198802,>100F,0
198803,30-39F,0
198803,40-49F,0
198803,50-59F,2
198803,60-69F,19
198803,70-79F,9
198803,80-89F,1
198803,90-99F,0
198803,>100F,0
198804,30-39F,0
198804,40-49F,0
198804,50-59F,4
198804,60-69F,17
198804,70-79F,7
198804,80-89F,2
198804,90-99F,0
198804,>100F,0
198805,30-39F,0
198805,40-49F,0
198805,50-59F,2
198805,60-69F,17
198805,70-79F,9
198805,80-89F,3
198805,90-99F,0
198805,>100F,0
198806,30-39F,0
198806,40-49F,0
198806,50-59F,0
198806,60-69F,7
198806,70-79F,14
198806,80-89F,9
198806,90-99F,0
198806,>100F,0
198807,30-39F,0
198807,40-49F,0
198807,50-59F,0
198807,60-69F,0
198807,70-79F,10
198807,80-89F,19
198807,90-99F,2
198807,>100F,0
198808,30-39F,0
198808,40-49F,0
198808,50-59F,0
198808,60-69F,2
198808,70-79F,17
198808,80-89F,10
198808,90-99F,2
198808,>100F,0
198809,30-39F,0
198809,40-49F,0
198809,50-59F,0
198809,60-69F,1
198809,70-79F,17
198809,80-89F,11
198809,90-99F,1
198809,>100F,0
198810,30-39F,0
198810,40-49F,0
198810,50-59F,0
198810,60-69F,11
198810,70-79F,14
198810,80-89F,6
198810,90-99F,0
198810,>100F,0
198811,30-39F,0
198811,40-49F,0
198811,50-59F,14
198811,60-69F,14
198811,70-79F,2
198811,80-89F,0
198811,90-99F,0
198811,>100F,0
198812,30-39F,0
198812,40-49F,7
198812,50-59F,12
198812,60-69F,12
198812,70-79F,0
198812,80-89F,0
198812,90-99F,0
198812,>100F,0
198901,30-39F,0
198901,40-49F,5
198901,50-59F,20
198901,60-69F,6
198901,70-79F,0
198901,80-89F,0
198901,90-99F,0
198901,>100F,0
198902,30-39F,0
198902,40-49F,9
198902,50-59F,11
198902,60-69F,8
198902,70-79F,0
198902,80-89F,0
198902,90-99F,0
198902,>100F,0
198903,30-39F,0
198903,40-49F,0
198903,50-59F,10
198903,60-69F,21
198903,70-79F,0
198903,80-89F,0
198903,90-99F,0
198903,>100F,0
198904,30-39F,0
198904,40-49F,0
198904,50-59F,2
198904,60-69F,14
198904,70-79F,8
198904,80-89F,6
198904,90-99F,0
198904,>100F,0
198905,30-39F,0
198905,40-49F,0
198905,50-59F,0
198905,60-69F,15
198905,70-79F,13
198905,80-89F,3
198905,90-99F,0
198905,>100F,0
198906,30-39F,0
198906,40-49F,0
198906,50-59F,0
198906,60-69F,9
198906,70-79F,15
198906,80-89F,5
198906,90-99F,1
198906,>100F,0
198907,30-39F,0
